,hour,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar,date
4616,4,74.48333333333333,56.74166666666667,53.916666666666664,0.0,0.0,30.09166666666667,0.0,0.0,0.0,0.0,2022-07-15
4617,5,73.70833333333333,56.78333333333333,55.583333333333336,0.0,0.0,30.100000000000005,0.0,0.0,0.0,3.6666666666666665,2022-07-15
4618,6,73.16666666666667,56.208333333333336,55.333333333333336,0.0,0.0,30.11,0.0,0.0,0.0,56.916666666666664,2022-07-15
4619,7,72.1,57.175000000000004,59.416666666666664,0.0,0.0,30.125,0.0,0.0,0.4166666666666667,185.33333333333334,2022-07-15
4620,8,72.69166666666666,57.88333333333333,59.833333333333336,0.0,0.0,30.141666666666666,0.0,0.0,1.0,277.3333333333333,2022-07-15
4621,9,73.09166666666667,58.275,59.833333333333336,0.0,0.0,30.141666666666666,0.0,0.0,2.0833333333333335,434.3333333333333,2022-07-15
4622,10,74.74166666666666,57.425000000000004,54.833333333333336,0.0,0.0,30.1525,0.0,0.0,4.083333333333333,681.1666666666666,2022-07-15
4623,11,77.30833333333334,57.800000000000004,51.083333333333336,0.0,0.0,30.1575,0.0,0.0,5.5,809.0,2022-07-15
4624,12,80.11666666666666,56.88333333333333,45.166666666666664,0.0,0.0,30.149166666666662,0.0,0.0,6.0,780.8333333333334,2022-07-15
4625,13,81.77499999999999,59.15833333333333,46.5,0.0,0.0,30.144166666666667,0.0,0.0,4.25,611.5,2022-07-15
4626,14,83.20833333333333,58.949999999999996,44.0,0.0,0.0,30.135833333333334,0.0,0.0,5.166666666666667,843.75,2022-07-15
4627,15,82.675,57.96666666666667,43.166666666666664,0.0,0.0,30.125,0.0,0.0,3.4166666666666665,680.9166666666666,2022-07-15
4628,16,81.74166666666666,59.6,47.166666666666664,0.0,0.0,30.12,0.0,0.0,2.3333333333333335,535.9166666666666,2022-07-15
4629,17,80.47500000000001,61.833333333333336,53.083333333333336,0.0,0.0,30.115,0.0,0.0,1.25,373.75,2022-07-15
4630,18,80.06666666666666,63.449999999999996,57.0,0.0,0.0,30.1125,0.0,0.0,0.5,203.58333333333334,2022-07-15
4631,19,78.05833333333334,63.475,61.0,0.0,0.0,30.12,0.0,0.0,0.0,56.333333333333336,2022-07-15
