,date,hour,Total Passengers,Amount of Trips,Total Distance,Average Distance,Total Fares,day_of_week,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar
136,2022-01-05,16,6926.0,4987,17081.329999999998,3.359160275319567,103522.64,2,46.916666666666664,43.06666666666666,86.25,0.0,0.0,29.785,0.0,0.21,0.0,7.166666666666667
137,2022-01-05,17,7088.0,5095,16202.49,3.1182621247113165,102043.24,2,47.06666666666666,42.59166666666667,84.08333333333333,0.0,0.0,29.763333333333335,0.0,0.21,0.0,0.0
138,2022-01-05,18,6922.0,4973,15875.23,3.1225865460267506,98089.43000000001,2,46.675000000000004,41.775,82.91666666666667,0.0,0.0,29.745,0.0,0.21,0.0,0.0
139,2022-01-05,19,5634.0,4090,14823.32,3.5770559845559844,83779.58,2,45.775,40.833333333333336,82.66666666666667,0.0,0.0,29.748333333333335,0.0,0.21,0.0,0.0
140,2022-01-05,20,4572.0,3215,12712.92,3.900865296103099,67969.3,2,44.69166666666666,39.333333333333336,81.25,0.0,0.0,29.748333333333335,0.0,0.21,0.0,0.0
141,2022-01-05,21,4168.0,2935,12189.16,4.09444407121263,63020.35,2,43.53333333333333,38.15833333333333,81.08333333333333,0.0,0.0,29.729166666666668,0.0,0.21,0.0,0.0
142,2022-01-05,22,3699.0,2614,11670.69,4.385828635851184,59194.27,2,43.0,37.24166666666667,80.0,0.0,0.0,29.71166666666667,0.0,0.21,0.0,0.0
143,2022-01-05,23,2453.0,1740,8317.7,4.686028169014085,40908.19,2,42.46666666666666,36.333333333333336,78.91666666666667,0.0,0.0,29.7,0.0,0.21,0.0,0.0
144,2022-01-06,0,1638.0,1183,6520.44,5.371037891268533,30687.53,3,41.69166666666667,35.85833333333333,79.58333333333333,0.0,0.0,29.7,0.0,0.0,0.0,0.0
146,2022-01-06,1,768.0,574,2978.68,5.118006872852233,14009.4,3,41.25,35.61666666666667,80.25,0.0,0.0,29.71083333333333,0.0,0.0,0.0,0.0
